time;open;high;low;close;Volume;;;;;
2008-10-14;2054.408;2060.488;1934.459;1934.619;54331946;;;;;
2008-10-15;1911.032;1930.634;1892.015;1914.356;31892398;;;;;
2008-10-16;1833.4821;1866.902;1818.933;1820.903;40529648;;;;;
2008-10-17;1837.9139;1851.332;1805.667;1833.262;28715420;;;;;
2008-10-20;1828.4139;1899.347;1802.095;1896.733;33277152;;;;;
2008-10-21;1901.244;1928.194;1880.517;1881.406;38908395;;;;;
2008-10-22;1854.6;1887.3051;1832.446;1833.323;32968572;;;;;
2008-10-23;1794.681;1836.413;1779.134;1834.78;35758654;;;;;
2008-10-24;1831.463;1840.884;1769.11;1781.598;32980668;;;;;
2008-10-27;1746.668;1746.668;1652.792;1654.671;36441847;;;;;
2008-10-28;1614.616;1716.306;1607.674;1705.8199;46792804;;;;;
2008-10-29;1723.234;1731.256;1657.653;1658.223;38869488;;;;;
2008-10-30;1669.968;1723.929;1646.345;1697.656;41284292;;;;;
2008-10-31;1688.09;1696.647;1655.088;1663.66;28314534;;;;;
2008-11-03;1648.556;1684.559;1643.418;1653.542;25381097;;;;;
2008-11-04;1646.201;1648.451;1606.731;1627.759;26100165;;;;;
2008-11-05;1641.264;1714.661;1641.264;1691.42;42418210;;;;;
2008-11-06;1648.127;1661.441;1638.344;1649.776;30784179;;;;;
2008-11-07;1618.7531;1690.105;1612.739;1677.827;31521590;;;;;
2008-11-10;1714.123;1803.119;1714.123;1801.665;63948859;;;;;
2008-11-11;1795.301;1824.929;1778.332;1781.361;66072851;;;;;
2008-11-12;1758.479;1806.23;1754.288;1801.823;44087960;;;;;
2008-11-13;1777.031;1891.942;1765.635;1874.082;83234550;;;;;
2008-11-14;1893.309;1943.6541;1874.932;1943.6541;91168710;;;;;
2008-11-17;1934.7371;1987.225;1919.967;1987.225;87836620;;;;;
2008-11-18;1974.3781;1994.8199;1831.757;1839.819;97278350;;;;;
2008-11-19;1831.597;1959.522;1823.2729;1953.163;82117400;;;;;
2008-11-20;1916.7;1976.95;1900.2679;1932.428;83187030;;;;;
2008-11-21;1872.265;1968.892;1835.0861;1920.735;83049320;;;;;
2008-11-24;1913.993;1923.933;1835.863;1837.642;50561517;;;;;
2008-11-25;1870.0551;1883.104;1801.5601;1834.2939;42814590;;;;;
2008-11-26;1832.114;1865.652;1815.015;1843.495;45565635;;;;;
2008-11-27;1961.891;1969.024;1870.045;1870.473;88008320;;;;;
2008-11-28;1851.103;1866.256;1815.447;1829.924;51590660;;;;;
2008-12-01;1823.769;1864.3;1799.839;1864.205;48386333;;;;;
2008-12-02;1821.543;1891.1331;1814.903;1868.631;61350235;;;;;
2008-12-03;1884.601;1952.668;1884.601;1952.668;85019140;;;;;
2008-12-04;1980.4449;2046.473;1978.141;1982.928;119183440;;;;;
2008-12-05;1969.741;2014.197;1965.089;2013.175;74366320;;;;;
2008-12-08;2040.474;2095.4651;2033.978;2095.0359;107607130;;;;;
2008-12-09;2104.124;2107.5991;2038.072;2040.847;92509810;;;;;
2008-12-10;2028.514;2096.3931;2014.283;2096.3931;83271060;;;;;
2008-12-11;2087.4299;2107.292;2043.62;2046.337;73556230;;;;;
2008-12-12;2027.069;2038.1851;1936.28;1960.38;67387260;;;;;
2008-12-15;1991.551;2006.225;1941.054;1975.0341;50451096;;;;;
2008-12-16;1956.995;1994.959;1919.869;1994.45;47924878;;;;;
2008-12-17;2002.0291;2030.3879;1995.65;2001.42;58685150;;;;;
2008-12-18;2001.048;2045.9449;1982.428;2045.1021;58429224;;;;;
2008-12-19;2037.369;2075.384;2033.1121;2052.114;63311227;;;;;
2008-12-22;2050.77;2055.366;1993.326;2017.549;52949464;;;;;
2008-12-23;2019.231;2019.231;1918.432;1918.955;63590464;;;;;
2008-12-24;1893.225;1912.775;1872.647;1887.075;44201831;;;;;
2008-12-25;1891.526;1902.714;1848.708;1870.765;39916834;;;;;
2008-12-26;1868.344;1881.077;1850.502;1862.0959;34560888;;;;;
2008-12-29;1852.413;1861.302;1816.059;1854.757;35986873;;;;;
2008-12-30;1852.949;1867.408;1824.528;1833.4351;37584627;;;;;
2008-12-31;1835.105;1844.416;1813.726;1817.722;35631355;;;;;
2009-01-05;1848.326;1882.959;1837.839;1882.959;48187020;;;;;
2009-01-06;1880.672;1948.489;1873.011;1942.795;70974090;;;;;
2009-01-07;1942.671;1959.246;1930.868;1931.178;59702167;;;;;
2009-01-08;1894.6639;1902.796;1873.6479;1887.991;53446490;;;;;
